target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
FoxP3 0.469396137334395 0.00212066404183575 0.46940448339004 0.00220451724618745 0.500026945543866 0.483843514767629
OX40 0.382148920628871 0.00234827043835202 0.38286677714115 0.0323445361413713 0.501357570074956 0.130121164173727
CD138 0.256828812983213 0.0719431843448234 0.244218843929721 0.149469370721472 0.328218224378616 0.0363102778716116
Ki67 1.22713124092132 0.0114885305361347 1.21832497962049 0.0251690349099572 0.473041894400655 0.0647310797763659
MPO 0.874668901946719 0.1913844977512 0.808592920516863 0.294209610082882 0.100184634971525 0.0908480633772462
CD163 0.844912238670842 0.00125181951875851 0.845030675340323 0.00109277106610527 0.500121969012384 0.553884631297759
CD209 0.0614478422586667 0.00998586749806698 0.0608523873110243 0.0362585650541467 0.471407060606836 0.0542590399507648
Lag3 1.82894864011728 0.0569278967548782 1.81505789067537 0.0707058623854764 0.473403167408951 0.257278687607826
CD16 1.30507198130978 0.66406662744977 1.2566940051186 0.688710209157323 0.021531033366196 0.04184966542421
CD20 0.506644718641195 0.250544160052366 0.473196518550216 0.34790707037033 0.0608773103826655 0.01869689466777
PD.L1 1.06986861626388 0.578263049151132 0.992862081651707 0.635828921461782 0.000237428496715805 0.00220690404842362
PD1 0.847501280841031 0.18278498347336 0.838631315907372 0.198275596681453 0.412927321077866 0.361160405158578
CD68 1.25726584395163 0.723601117557065 1.23651950694673 0.732422945374078 0.231130526970893 0.30615335437138
CD45 0.324511590335239 0.804836571254946 0.323485504117821 0.806081740129843 0.448783106362514 0.460125815727965
CD3 0.589856450902474 0.714958515940652 0.585648293790607 0.71886484107505 0.330831356079986 0.37143264252745
HLA.DR 0.569151636216239 0.68297847873837 0.529095836361724 0.725622163036995 0.000535126968449306 0.00044769965591897
CD63 0.527894197994689 0.597542430342085 0.525141212335285 0.60121691817495 0.428436616272314 0.447240911092028
H3K27me3 0.364950560291688 0.776341755858466 0.363283320265861 0.778408805988768 0.381913683900856 0.360213013275724
EGFR 0.0567255633484327 0.0102786154311397 0.0568303722054897 0.0204102128890233 0.50307428462866 0.21124294774348
p53 0.170127801642233 0.142205475962998 0.170104433050238 0.143185095280441 0.499383287479559 0.492276126833354
CD56 1.78095987940303 0.00670399691688518 1.70150312746829 0.104029948216828 0.344358699760662 0.00643823438483017
CD4 0.709850753904387 0.679897978393609 0.69211525238217 0.695770653695143 0.225138844579067 0.206917335971804
Keratin6 0.367923480243739 0.744760007935902 0.361535380883425 0.753721267467715 0.348935483293177 0.302971122569137
CD11c 1.05198272344055 0.645977968824433 1.01354525628094 0.671402710871491 0.13043273568869 0.0925907952127169
CD31 1.36272926174743 0.204622754893358 1.30839094716908 0.264830115373164 0.216955994874422 0.126065605341647
IDO 1.71590397303952 0.560270141958142 1.60935628802176 0.613452462952329 0.014349696067193 0.00526736091033661
CD11b 0.824707802110589 0.657919641231385 0.806413349303196 0.671578244049942 0.253856191173789 0.18589261209099
CD45RO 0.530956727160305 0.805346899831518 0.529914762057202 0.806083963809667 0.459056959891254 0.454919278500005
CSF.1R 0.987906679244446 0.588970862420748 0.968635845748163 0.604801334707204 0.0979005886593855 0.193954208046381
H3K9ac 0.358900370815909 0.715485669017156 0.352408593909513 0.725614800775691 0.126261587749595 0.0925932035789065
phospho.S6 0.424251568305172 0.545395852347323 0.400531266631424 0.594924885936874 0.00240882221601086 0.000568876871479373
Beta.catenin 0.431939988286675 0.705053187048934 0.429611829000551 0.708219691010604 0.410315917130925 0.411452929463345
HLA_Class_1 0.289324538763017 0.669168226343345 0.279132085099599 0.691759866933472 0.0131500781593437 0.0515960942717838
Keratin17 0.186309014721823 0.212054649047789 0.183690331741409 0.233646091041882 0.436070136101904 0.312415626736814
Pan.Keratin 0.460459850621172 0.664056912040375 0.441740962030454 0.690568926421701 0.0609999139511942 0.068235059770994
CD8 1.01112485530295 0.559530487986512 0.991393016316985 0.576442396557453 0.0815488231977853 0.0430373258057361
