target intercept intra c.para.120 p.intercept p.intra p.c.para.120
CD56 -0.0147659090340194 0.153118747247036 0.535763890963809 0.0345843127349997 0.0153498111684146 1.18990433268646e-20
Lag3 -0.027221594380293 0.353904654935773 0.187697686031396 0.000348833234346198 2.59286846511788e-11 5.34741966968322e-05
p53 -0.0642670068444682 0.102079480115634 0.682301987038863 0.0178497781834184 0.194811549934326 1.51846964166726e-44
OX40 0.00541817728733448 0.0348621028156848 0.815234742989156 0.692978431966464 0.539832656835062 3.14539821979856e-33
PD1 -0.0334780826742601 0.372700489216166 0.392241004662525 0.000115869582302648 3.03047569664045e-16 3.62020641480764e-19
MPO 0.0374188639216007 1.00402567952805 0.410502579513051 1.88361048061739e-05 1.10952336651226e-99 1.00020578545143e-22
PD.L1 0.0366322350896278 0.759024053852061 0.4386873998131 5.7067516735982e-07 4.95870510806405e-203 1.97621695821264e-57
IDO -0.0694107903807686 0.898483386454652 0.378251273447233 6.35130027444508e-07 0 2.38752886345181e-58
CD4 0.00423061198291389 1.00433164725704 0.149788184886229 0.465538791207119 0 5.4344987350811e-20
CD11c 0.0346896295580793 0.736317030093044 0.613280550477951 2.17065840106846e-06 1.75802462968782e-254 9.52600335480765e-158
Keratin6 0.0931197957689029 0.971286648160972 0.215490564609947 3.24042307254659e-08 0 4.37224919551918e-11
Beta.catenin 0.254307279857158 0.97534788270672 0.3473326551155 1.91428558160112e-34 0 2.3300941354625e-37
CD8 -0.0740906785982502 1.05124899993672 0.165780539248725 2.4611551774007e-10 0 6.99007250079605e-16
CD45RO -0.0143594999158471 1.0052044072171 0.0626810593488789 0.0199130117318473 0 2.73853860307756e-07
CD31 -0.0938865328452819 0.860819094147945 0.343747097465973 2.27891888870408e-05 2.93843603663634e-103 5.33463583129535e-20
HLA.DR -0.0269232787902128 0.957940089588536 0.261240450803118 0.000184773122022519 0 2.76568182131366e-53
CD68 -0.0646854719165195 1.09647879890464 0.200036968629646 5.28862870515553e-09 0 5.81796488224567e-15
Ki67 0.015939144476025 1.00953067343952 0.169954119208955 0.168493894249668 2.34676522516251e-90 0.00010206864645458
H3K27me3 -0.0675668184597175 1.10095436221953 0.0905065797728911 2.16742660071929e-19 0 2.26749613023294e-08
H3K9ac -0.0572579704903399 1.06229552527698 0.143651514096617 9.7233845756405e-18 0 4.58629937626479e-20
Keratin17 0.0613458999243617 1.11711928380166 0.134279958570021 6.02690653203534e-17 0 6.72363232965116e-06
CD209 0.00344615826581357 0.692620375182703 0.365045277977401 0.532801780515464 5.48255747013427e-44 5.96094214276892e-18
CD11b 0.047109917236411 1.10883065912401 0.241045427017111 5.68538934623518e-26 0 2.20804893023718e-22
Pan.Keratin 0.141127780790212 1.16320052331529 0.109894457003232 3.55051399486459e-52 0 1.88199639629251e-08
CD138 -0.00658254777266167 0.359263928612348 0.937573267485977 0.558176340368624 6.87652501410078e-24 0
CSF.1R 0.00322938082056943 0.98667073486288 0.119430401156968 0.58369939551821 0 1.17291999223532e-12
CD20 0.110361762604193 1.06957867309241 0.609987122811488 2.67023693641969e-34 2.08182329795752e-232 2.29064168056632e-85
HLA_Class_1 -0.0284694530140053 0.822654101605905 0.360462501354606 3.30949238688744e-09 0 3.12546640190403e-172
CD16 -0.00143918416231349 1.07382859854373 0.16523062024743 0.836051431543039 0 2.14171007686465e-10
CD63 0.0857157935174353 1.1584250803137 0.215636899561309 4.01908379136851e-21 0 7.72612791415703e-11
CD3 -0.017919029961414 1.00789801862595 0.0653602399604873 0.000608215083361279 0 2.93552279332024e-07
phospho.S6 -0.102924413520563 0.799037756236406 0.529226008945423 3.28691342153538e-22 3.4083186078966e-204 6.94675814486033e-107
CD45 -0.0214101643352828 1.04811938424234 -0.00681073110057447 8.92498992725755e-06 0 0.470905246427894
