target intercept intra para.50 p.intercept p.intra p.para.50
Class_B 0 0.190154308774428 0.730841838756715 1 0.0142263731644946 1.85936483678849e-113
Class_CD3.T 0 0.55654424290196 0.398951241275834 1 1.32930550668427e-13 1.65654971988678e-21
Class_CD4.T 0 0.230336222533907 0.69000065016387 1 0.00072863307026626 3.35008899057426e-90
Class_CD8.T 0 0.371262056136365 0.576117233521852 1 1.79340946719832e-07 2.19229326643029e-47
Class_DC.Mono 0 0.35806172265853 0.576981871263565 1 9.68113100605521e-09 9.38771011747945e-49
Class_Macrophages 0 0.336144956870226 0.617952773663247 1 8.15892998153207e-09 9.12531263254002e-57
Class_Mesenchymal 0 0.117217932006181 0.82268671504296 1 0.0244594743222232 5.51866970875836e-127
Class_Mono.Neu 0 0.537804289284031 0.409123616914406 1 4.60948329391306e-11 8.98360828321036e-22
Class_Neutrophils 0 0.398967565071479 0.497421603811041 1 6.67384269337554e-05 6.69316291356852e-31
Class_Other.immune 0 0.24933208170035 0.686345994354154 1 8.19345143064966e-07 1.5153303369134e-102
Class_Tumor 0 -0.0970644586269201 1.08119597125641 1 3.65144646867332e-05 0
