target intercept intra para.50 p.intercept p.intra p.para.50
Class_B 0 0.622227574400915 0.325305974142212 1 1.68624848101421e-15 3.53908606537203e-23
Class_CD3.T 0 0.629477730638416 0.330351742179222 1 1.21410834408353e-22 4.41779625661513e-23
Class_CD4.T 0 0.458405736716924 0.474590729390322 1 1.56123247067247e-15 6.16690554193386e-49
Class_DC.Mono 0 0.719586648745859 0.234633600740025 1 8.81230893121074e-17 1.27133225633993e-10
Class_CD8.T 0 0.248886385401063 0.718241009355735 1 4.71028330497333e-13 1.11500627322375e-139
Class_Mesenchymal 0 0.274049249322262 0.621682055909576 1 0.00182644836090869 1.87097071708972e-78
Class_Other.immune 0 0.425540990207242 0.501849681669081 1 4.93548659313362e-11 3.73545547383331e-62
Class_Macrophages 0 0.393389010864311 0.558347872807009 1 4.50816516289577e-20 1.61161894302631e-74
Class_Tregs 0 0.573236533274878 0.371251650454169 1 8.46548013792331e-16 6.47850908087706e-25
Class_Tumor 0 -0.0217441818948157 1.00128267954566 1 0.289638033083643 0
