target intercept intra para.50 p.intercept p.intra p.para.50
Class_CD4.T 0 0.283876304026922 0.643524245579573 1 0.00237111725060176 4.76423047205925e-90
Class_CD3.T 0 0.276362116885252 0.64179789727084 1 0.00216454263196467 5.35840303748267e-87
Class_CD8.T 0 0.385923496367075 0.568506128365227 1 5.28986138864939e-07 1.38255043517903e-59
Class_DC.Mono 0 0.145007172389097 0.793664127606135 1 0.0343906640472952 3.15390978155281e-243
Class_Endothelial 0 0.313344456756474 0.63251613600478 1 0.00129382416327487 7.59928614444144e-95
Class_Mesenchymal 0 0.420611081827802 0.528573038107502 1 6.47365191289962e-06 4.99037581092977e-55
Class_Macrophages 0 0.11821965611473 0.833021498714614 1 0.002378560116082 1.70534832031954e-285
Class_Other.immune 0 0.251829723054427 0.69229912960137 1 2.03245760589496e-06 8.52181974429864e-138
Class_Mono.Neu 0 0.269204657481922 0.684473273362179 1 3.62084386778015e-07 3.05002849025495e-113
Class_Tumor 0 -0.00995136836500969 1.01153706071777 1 0.416221751233339 0
