target intercept intra c.para.120 p.intercept p.intra p.c.para.120
CD4 0.137934276246216 0.906847232513099 0.582174376331789 0.0144594038959797 1.92001107277073e-09 6.95354868701864e-06
CD11c -0.121240769468937 0.715157377740132 0.564377352990286 0.118013662849218 5.09115437420233e-10 3.52396042610156e-06
CD138 -0.174636416056395 0.685697062203837 0.526433419190341 0.114175142754743 2.71422177662902e-08 2.90550987919337e-05
CD68 -0.799517084890527 1.23494576008368 0.0620852745770787 0.0422673438352281 2.06029391195991e-24 0.634739472331135
CSF.1R 0.038989809107915 1.14873585612763 0.0446911696399338 0.421954887699153 6.50926393558985e-16 0.717859501685121
CD56 0.0390063968079238 -0.0313344949519113 0.786105099370579 0.879148052267824 0.866019529578239 3.83821248032235e-07
CD16 -0.0374983904744668 0.715558145609295 0.323523318546676 0.613556366999208 4.57690492786208e-07 0.0596754976955603
CD63 -0.0490170743174538 1.20383896702704 0.289939821019751 0.268299215249632 1.37522167847649e-23 0.00918670165375194
CD45RO 0.173926656880551 1.15544533884766 0.311221320382088 0.000260028590931231 1.47502272484371e-27 0.0029347477567062
HLA.DR -0.131650966662977 0.90386733891717 0.579759415955584 0.00917081383398928 2.73147439675144e-18 3.03561317904018e-09
CD45 0.2427899676657 1.18488358209047 0.344570869900345 1.3767652334016e-05 2.60967338489504e-33 0.00178714221762162
H3K9ac 0.421849496201858 1.09551300386544 0.284531601949044 0.00413381081954749 1.51941249658019e-20 0.0367106233443726
H3K27me3 0.551044229120716 1.09872560992366 0.537509475696397 0.000308481872327812 1.2754818349866e-20 0.000346796225263445
Beta.catenin 0.143150978268631 0.545329958170667 0.74880232045213 0.0364575100640462 2.78708729731168e-05 2.37902436915041e-16
phospho.S6 0.025967121089546 1.05979162162791 0.0664965034500621 0.676334580290846 9.83511548280588e-15 0.620722557498901
Keratin6 -0.197553834570311 0.539311611597902 0.0790241848258613 0.0535974020737582 0.00441466068684473 0.57847068101844
HLA_Class_1 0.289455095525827 0.954706868571864 0.506028891653107 0.000110460204669931 8.33303985988264e-19 4.7873282501354e-06
