target intercept intra para.50 p.intercept p.intra p.para.50
Class_B 0 0.325489175265096 0.623759761071317 1 2.35876845290324e-07 2.85977843129655e-83
Class_CD8.T 0 0.422753579112136 0.530191218487536 1 3.20460071664164e-10 1.3095890957267e-49
Class_CD3.T 0 0.5020491663579 0.450951210618753 1 1.83590490960293e-16 8.35784427691568e-45
Class_Endothelial 0 0.186300323573548 0.732690655239621 1 0.0372476357170002 2.36519853064224e-113
Class_CD4.T 0 0.159070214688933 0.793227071412247 1 6.61835706628204e-05 1.13117330228699e-246
Class_DC.Mono 0 0.145800251541234 0.795815714859582 1 0.00385006558896112 7.63996087023089e-189
Class_Macrophages 0 0.110111490541758 0.844196322499319 1 0.00315816711989242 4.76138259911226e-267
Class_Mesenchymal 0 0.261290419904634 0.69331947387018 1 0.000449534821413962 1.04035703489248e-96
Class_Neutrophils 0 0.286056661080387 0.650123420474616 1 0.00225004297535279 1.26979471206137e-70
Class_Other.immune 0 0.196285301340412 0.764294980675275 1 1.6635343380722e-06 1.39378221034201e-215
Class_Tregs 0 0.540551402096682 0.411370796152596 1 1.17733612544692e-10 3.3756993082892e-26
Class_Tumor 0 -0.00776831442565487 1.004596907593 1 0.406984195062166 0
