target intercept intra para.50 p.intercept p.intra p.para.50
Class_CD3.T 0 0.536026996872259 0.399790388856653 1 6.46753530037804e-08 2.39015058531605e-26
Class_CD4.T 0 0.419070423266366 0.543200750132782 1 1.22267921630212e-09 1.18927332629149e-62
Class_CD8.T 0 0.246995182509712 0.706515286102667 1 1.55277405537492e-06 4.6290475670356e-113
Class_DC.Mono 0 0.095005886899322 0.861548091379441 1 0.0768585203303464 3.94259660123173e-257
Class_Endothelial 0 0.258629329225689 0.678451673663109 1 0.000640327186712776 5.3999231875784e-99
Class_Macrophages 0 0.0864576348169324 0.885583231131593 1 0.00868859942632129 8.03997353492518e-316
Class_Mono.Neu 0 0.48117403233584 0.456737065569846 1 3.18626343429577e-09 8.22688039098226e-39
Class_Other.immune 0 0.325837092835773 0.599243016402362 1 3.87090654240105e-05 4.96079573868929e-76
Class_Mesenchymal 0 0.232268814083873 0.70773780785943 1 0.000605335734796775 1.03411021984078e-129
Class_Tumor 0 -0.0104041398886524 1.00608556283753 1 0.345456849629576 0
