target intercept intra para.50 p.intercept p.intra p.para.50
Class_CD4.T 0 0.267802380682089 0.66509870392482 1 0.000232527529839226 9.33466626474026e-103
Class_B 0 0.0344382643122001 0.921599932082711 1 0.335029370730111 0
Class_CD8.T 0 0.205430405247503 0.759664272594599 1 0.00116488556891151 1.51584597777064e-152
Class_DC 0 0.00692031088901797 0.967726217981199 1 0.803982173699447 0
Class_DC.Mono 0 0.379232107082013 0.581953236209231 1 0.000244517621439837 2.80596286257667e-56
Class_Endothelial 0 0.20301440068692 0.755846458760584 1 0.00103689899149746 3.6339367400036e-118
Class_Macrophages 0 0.52635263657806 0.432283246420288 1 1.81238414726525e-07 1.3426770742228e-30
Class_Other.immune 0 0.367254488174363 0.58450509574571 1 1.2123120869747e-07 9.74968576636381e-65
Class_Mesenchymal 0 0.192216660355018 0.776497294950114 1 5.94360221717656e-05 1.77265597048288e-149
Class_Tumor 0 -0.0388111813500796 1.03595264341496 1 0.0834052276499831 0
