target intercept intra para.50 p.intercept p.intra p.para.50
Class_B 0 0.223227816025601 0.715425466240571 1 2.54788301166859e-05 7.25839084851192e-150
Class_CD3.T 0 0.415343190481993 0.52799835891747 1 1.99278039402259e-08 4.38563128155179e-59
Class_CD4.T 0 0.190737090293788 0.748706505708951 1 7.90791298774976e-05 3.14659904025957e-194
Class_CD8.T 0 0.224659473728629 0.714417595155811 1 6.91563381263214e-06 5.47213299986779e-151
Class_Endothelial 0 0.462792652511174 0.465658325602606 1 4.63825076197606e-06 5.73938537759758e-39
Class_DC.Mono 0 0.429448496982529 0.520895930679229 1 9.85657442921902e-14 5.17492770236732e-57
Class_Macrophages 0 0.211698227008802 0.730496039554045 1 2.15280126135021e-06 8.06189251965074e-142
Class_Mesenchymal 0 0.107216249591937 0.831748041726776 1 0.00788917076297834 5.83612797382982e-250
Class_Other.immune 0 0.465431208734426 0.494171955608898 1 4.56087814777432e-12 4.05303694246942e-58
Class_Tumor 0 -0.027475090541394 1.02121839443375 1 0.0857361242600375 0
