target intercept intra c.para.120 p.intercept p.intra p.c.para.120
FoxP3 -0.260551455467341 1.10342966108277 0.134121797902719 0.00510224494190933 3.40356885880579e-169 0.0176515011547117
CD138 -0.141094732070019 0.147010292087045 0.429145128896816 0.00137674887787036 0.148778007665198 2.12644624309548e-06
CD209 0.00386621843505119 0.371240515576414 0.76396190995963 0.58288295260731 1.29305277295682e-06 1.38334442900262e-37
p53 0.057259568271826 1.0178704714085 0.184534578075651 0.0776513700522229 6.9986383123763e-32 0.0234110895267959
PD1 -0.18062251787374 1.05596550567413 0.266884662160037 2.97508361246914e-05 2.91653455915438e-154 1.65337168427556e-06
EGFR -0.014584986410631 0.94707770013421 0.321288026035939 0.198856659925066 5.96576529527213e-116 1.98015030567485e-14
CD16 -0.826619878927394 1.16898668794123 0.258124684386206 2.05736864553642e-25 0 3.58158619512449e-12
IDO 0.0208966451299646 1.04704820256388 0.301098761324032 0.118085782859456 1.90620366263481e-76 1.85896044702876e-06
Lag3 -0.0740567436424865 0.823999904052676 0.169755299371353 0.379328235504534 4.17407558829638e-57 0.00933774156213813
CD63 -0.000341929266192299 1.12855322731908 0.263313324279494 0.976620679288114 4.64334801525504e-193 3.19775262902105e-08
CD8 -0.163196041572946 1.19816436806649 0.171830310987816 9.91746938392234e-11 0 2.21358613508205e-06
OX40 0.0792411258062031 0.157228322522704 -0.0394218845450053 0.189919443266081 0.134285483271715 0.680700507428403
CD31 -0.00468604566340572 0.445606421718834 0.637528856225958 0.720302512445873 1.351038359472e-08 4.37954702025687e-22
MPO -0.510368951700909 1.30939191086459 0.250396571187386 3.4657352502568e-22 0 1.11006308867606e-10
HLA.DR -0.0737834823978178 0.873527204529771 0.672810465485955 1.44363068776213e-08 3.71049227934992e-110 3.50006000415838e-72
CD45 -0.0882383928792026 1.13651028654073 0.0794585321439465 1.46842301433603e-12 0 0.00165177845552547
CD11c -0.0373642268259383 0.986602416483061 0.454132331383353 0.00177287225026287 1.10992190412216e-190 1.53822374723626e-27
H3K27me3 -0.199279497012577 1.19260497609785 0.14982548697916 7.39652051689726e-22 0 1.54615689122813e-06
Keratin17 0.059658016037608 0.783127428077748 0.481571242152046 0.00592742872255841 5.24398036223393e-28 2.29481018508066e-10
CD68 -0.107382577322972 1.12866508789143 0.151618410044554 6.74172544312131e-06 3.29468441291245e-229 0.000855352308973089
Ki67 -0.0269534593175956 0.845769946956382 0.273412562591319 0.210578968362268 1.24278322914357e-28 0.000172265629320949
Beta.catenin -0.395600042968116 1.07152839527384 0.389023474050309 5.13595876029675e-33 3.05395920955434e-230 4.66842859745365e-31
CD11b 0.0362207997704213 1.45959602797642 0.162786856011284 0.00234615223548356 2.66867247655082e-227 0.000470941537117856
CD4 -0.0377614628576575 1.2097357191802 0.170599492367851 0.00457499403650511 0 1.13135606335969e-06
CD45RO -0.14445604706502 1.08675030163798 0.197129583728082 9.40536713854161e-15 0 1.22532309111472e-11
Keratin6 0.0883966789440295 0.81353817713251 0.477448280674236 1.04313934125356e-09 1.61850764400725e-64 1.52992912277401e-28
PD.L1 -0.292763576548581 0.804767518164911 0.590907487509525 2.5531001377204e-11 2.13745825880806e-58 3.22162783686861e-35
CD3 -0.0442742564834518 1.10275108925978 0.0353992932459683 0.0010998206389206 0 0.228988688482862
H3K9ac -0.227457093125976 1.13356114568978 0.230924574082729 3.52872279987542e-17 8.52408395562898e-317 1.43214956713128e-10
CD20 -0.260585997740709 -0.00450873502786723 0.264832108562869 5.88173337848583e-11 0.968356850080084 2.89602195401983e-05
CSF.1R -0.129800678870762 1.02678941048259 0.198846809151328 3.28946119772259e-05 2.99123816058204e-194 1.70703668423211e-05
phospho.S6 -0.0452876857790841 1.1672671084078 0.262062345189075 2.00409064874129e-05 4.75731709040369e-307 3.5922155302407e-12
HLA_Class_1 -0.685694488276351 1.04332775552019 0.381208070520834 1.94435544824906e-39 1.11979270990848e-239 2.56199018469741e-30
Pan.Keratin 0.0525090217622227 0.898381932458097 0.456843016688754 0.000210022748909619 1.67983164673324e-83 2.16784466223363e-20
