target intercept intra c.para.120 p.intercept p.intra p.c.para.120
CD56 -0.00378974322011101 0.682658293290611 0.111427307180295 0.796697264977053 1.89811317193765e-19 0.107178061235925
EGFR -0.204481200057191 0.283348249857249 0.0517239829949899 4.70164101488023e-13 0.000237960925149543 0.380259916898169
Lag3 -0.0181947947455586 0.572916662338727 0.374000375613427 0.556875758499537 3.90669485388958e-29 6.16506208541907e-11
PD1 -0.0152143820740046 0.482957753665595 0.436862172644826 0.186900852822062 2.69035718333415e-19 1.79677072177669e-11
CD31 -0.0400348564629114 0.799023302810008 0.346337933401908 0.0730438136462209 4.79627871969427e-57 2.1516452567938e-12
CD209 0.0171815179290706 0.854291077852329 0.571718524236102 0.00372548382856812 4.86457470702592e-52 5.80726613288876e-26
Ki67 0.0140231028614114 1.13118642968763 0.185050072756838 0.332941531670689 5.9561645295096e-107 0.000527378317569976
CD20 0.140748200946636 1.06770793249256 0.487278284013274 4.97023232024035e-25 4.34124228167857e-147 4.34878789531124e-31
MPO -0.188662286903148 0.943472426171111 0.355173653118043 2.6530096064312e-08 8.86190040639756e-141 4.66185151804426e-27
CD68 -0.151095386575279 0.939215441822666 0.268198491655288 6.23717222986164e-17 0 6.96832857951727e-34
IDO -0.066668552562957 0.50942649590779 0.790741944749921 2.80534667786447e-05 1.82433246861054e-56 1.15357603443879e-148
PD.L1 0.0703845166472966 0.667889894688725 0.651171993736992 1.57664270848198e-05 1.04626080918925e-40 1.12919185901392e-37
H3K9ac 0.0290719844312319 0.987482093266298 0.124703364109278 0.00121077836090771 0 3.38880659442006e-12
CD63 -0.0740841074884898 1.04354665010338 0.210088097992469 1.00106095682693e-07 0 5.14360075489368e-18
CD8 -0.0526468898200669 1.07644277442484 0.0945772867393068 0.000191386688458569 0 0.000465114965595479
CD11b -0.317510145685252 0.842930795523457 0.264056567884797 2.4771599011137e-13 2.06244573977498e-309 1.52178906496382e-42
CD4 0.0596005113750209 1.17008719865188 0.252720130746625 1.10806783861986e-10 0 2.70949322004484e-14
H3K27me3 -0.0118923607446229 1.12563961569801 0.0142238663372382 0.180954036525527 0 0.4897891672105
CD11c 0.0942826294806248 0.856314082679445 0.632164859085675 3.10841783542279e-12 1.60083758933617e-96 3.28690657476725e-47
Keratin17 0.160848975329164 1.10812462272514 0.5564608209482 1.02311624985801e-40 6.97857765853577e-96 3.46105645863224e-36
Keratin6 0.0593858578516766 0.997188146492043 0.206977485372546 7.39723040149429e-26 0 3.39625070807509e-28
Beta.catenin 0.0702260102607283 0.840626984297078 0.332042324262044 6.89452195840828e-12 1.95557550055363e-213 8.68500082933151e-36
CSF.1R 0.0597932380129914 0.806405867985067 0.510997674493646 2.31472195690345e-06 1.54275898685639e-121 1.72883138522173e-48
Pan.Keratin -0.00758869532264947 0.89113795768461 0.311572065691732 0.324195578505344 4.85456365983308e-311 7.80537987416125e-46
CD45 -0.0786414681511868 1.09884830409518 0.0467193726323723 1.22611101445627e-08 0 0.0488906424715692
CD45RO -0.105010928687604 1.067900858535 0.0639104027845598 1.1649699244241e-10 0 0.000876683557588693
CD3 -0.0400231354353255 1.08320484825618 0.103317383529899 8.89074105364298e-06 0 1.86992861189737e-05
CD138 -0.105153498105936 0.520270915314099 0.763773216808625 1.0700723671044e-06 8.84218030494985e-53 2.31666938483185e-153
CD16 -0.114169433662326 1.10208502476939 0.308395428038238 1.640598357819e-11 3.1437506249809e-311 3.88007774230606e-21
phospho.S6 -0.0267496644674629 0.767059761432874 0.387702032527782 0.0122006376029986 1.11887724373597e-151 8.11551205604786e-45
HLA_Class_1 -0.169416005899502 1.02967872014206 0.216083223182317 2.67615232862159e-34 0 4.20085645821349e-23
HLA.DR -0.0861081224183501 0.930743757081098 0.293275217619952 3.26728658570806e-14 2.30264630153288e-317 9.78980456097034e-33
